nom,adresse,etoiles,note,avis,prix,ville_id
Soriyabori Villas,"Kbal Kaoh,Kratie ",3,7.8,141,106,20
HeangKanha GuestHouse,"Doun Chroam,Kratie ",3,8.2,34,11,20
River Dolphin Hotel,"Kapou,Kratie ",3,7.2,233,13,20
Privada Lodge - Historic Hotel,"Doun Chroam,Kratie ",4,8.1,15,38,20
Nomad Guesthouse,"Doun Chroam,Kratie ",3,8.4,102,13,20
Dolphin Home Stay New,"Kratie,Kratie ",0,7.9,6,7,20
Phnom Tbeng Resort,"Preah Vihear,Preah Vihear ",3,8.7,18,25,27
Sokha Home,"Thmei,Preah Vihear ",0,8.0,70,25,27
Javier Guest House,"Thmei,Preah Vihear ",1,6.7,16,25,27
Family Motel,"Thmei,Preah Vihear ",0,7.8,0,25,27
Pursat Riverside Hotel & Spa,"Pursat,Pursat ",4,7.8,418,9,28
avec 5 chambre(s) de  m² et 1 salle(s) de bains privée(s) à Pursat (Pursat happy homestay),"Pursat,Pursat ",0,9.8,2,9,28
Savet Guesthouse,"Mondol Bei,Stung Treng ",3,8.2,194,18,33
Savet Hostel,"Mondol Bei,Stung Treng ",3,8.5,38,9,33
Mekong Bird Resort,"Mondol Bei,Stung Treng ",0,6.8,53,13,33
Sampheap Guesthouse,"Mondol Bei,Stung Treng ",0,7.833333333333333,0,13,33
Four Rivers Hotel,"Mondol Bei,Stung Treng ",4,7.833333333333333,0,13,33
Eco Garden Residences,"Sangkat Chaom Chau,Takeo ",4,7.9,133,29,34
The Safari Resort,"Prey Rumdeng,Takeo ",4,9.6,3,29,34
Diamonich Suites Hotel,"Prey Rumdeng,Takeo ",3,8.45,0,29,34
Alice Villa Hotel,"Chres,Takeo ",3,7.6,63,29,34
Meas Family Homestay,"Prey Rumdeng,Takeo ",4,8.7,10,29,34
Atmaland Resort,"Prey Thum,Kep ",3,8.6,637,24,11
Veranda Natural Resort,"Prey Thum,Kep ",4,8.8,1452,119,11
Mealea Resort,"Prey Thum,Kep ",3,8.1,665,43,11
