Ville,Nom,Adresse,Étoiles,Note,Avis,Prix
Kampong Cham,Hanchey Bamboo Resort,"Boeng Kok Pir,Kampong Cham - Voir sur la carte",3 étoiles,8.5,52,29 €
Kampong Cham,Thmor Da Guest House,"Phum Dabpram,Kampong Cham - Voir sur la carte",,3.6,1,18 €
Kampong Cham,Phalla Riverside,"Boeng Kok Pir,Kampong Cham - Voir sur la carte",3 étoiles,8.4,103,11 €
Kampong Cham,BK Bungalows,"Boeng Kok Pir,Kampong Cham - Voir sur la carte",3 étoiles,8,7,7 €
Kampong Cham,OBT Homestay and Bungalows,"Boeng Kok Pir,Kampong Cham - Voir sur la carte",3 étoiles,8.3,3,12 €
Kampong Cham,Reasmey Cheanich Hotel,"Phum Dabpram,Kampong Cham - Voir sur la carte",3 étoiles,7.5,277,30 €
Kampong Cham,VV Hotel Kampong Cham,"Phum Dabpram,Kampong Cham - Voir sur la carte",4 étoiles,9.3,3,55 €
Kampong Cham,Toek Chha Temple Resort,"Kampong Cham,Kampong Cham - Voir sur la carte",1 étoile,N/A,N/A,N/A
Kampong Cham,Natural bungalows,"Boeng Kok Pir,Kampong Cham - Voir sur la carte",3 étoiles,8.5,29,N/A
Kampong Thom,Glorious Hotel & Spa,"Balang,Kampong Thom - Voir sur la carte",4 étoiles,7.6,154,25 €
Kampong Thom,Kampong Thom Palace Hotel,"Stoeng Sen,Kampong Thom - Voir sur la carte",,8.4,295,33 €
Kampong Thom,Sambor Village Hotel,"Stoeng Sen,Kampong Thom - Voir sur la carte",3 étoiles,8.5,264,66 €
Kampong Thom,Vvillage,"Balang,Kampong Thom - Voir sur la carte",,N/A,N/A,N/A
Koh Kong,Soho Villa&Resort,"Phum Ti Bei,Koh Kong - Voir sur la carte",5 étoiles,7.5,3,45 €
Koh Kong,Nov Koh Kong Resort,"Dang Tong,Koh Kong - Voir sur la carte",4 étoiles,8.3,16,52 €
Koh Kong,Asian Koh Kong Hotel,"Phum Ti Bei,Koh Kong - Voir sur la carte",3 étoiles,7.8,98,49 €
Koh Kong,Sopheak Mongkol Guest House,"Kaoh Kong,Koh Kong - Voir sur la carte",5 étoiles,7.2,5,N/A
Koh Kong,Young Wild and Free,"Kaoh Pao,Koh Kong - Voir sur la carte",2 étoiles,7.8,46,N/A
Koh Kong,Tatai Nature Resort,"Phum Ti Bei,Koh Kong - Voir sur la carte",4 étoiles,N/A,N/A,N/A
Kratie,Silver Dolphin Guesthouse,"Doun Chroam,Kratie - Voir sur la carte",,7.3,401,7 €
Kratie,Le Tonle,"Doun Chroam,Kratie - Voir sur la carte",3 étoiles,8.8,77,18 €
Kratie,Sorya Guesthouse & Dolphin Tours,"Doun Chroam,Kratie - Voir sur la carte",3 étoiles,9.2,160,22 €
Kratie,Tonle Mekong Homestay,"Doun Chroam,Kratie - Voir sur la carte",,9.2,63,5 €
Kratie,Soriyabori Villas,"Kbal Kaoh,Kratie - Voir sur la carte",3 étoiles,7.8,141,106 €
Kratie,HeangKanha GuestHouse,"Doun Chroam,Kratie - Voir sur la carte",3 étoiles,8.2,34,11 €
Kratie,River Dolphin Hotel,"Kapou,Kratie - Voir sur la carte",3 étoiles,7.2,233,13 €
Kratie,Privada Lodge - Historic Hotel,"Doun Chroam,Kratie - Voir sur la carte",4 étoiles,8.1,15,38 €
Kratie,Nomad Guesthouse,"Doun Chroam,Kratie - Voir sur la carte",3 étoiles,8.4,102,13 €
Kratie,Dolphin Home Stay New,"Kratie,Kratie - Voir sur la carte",,7.9,6,7 €
Preah Vihear,Phnom Tbeng Resort,"Preah Vihear,Preah Vihear - Voir sur la carte",3 étoiles,8.7,18,25 €
Preah Vihear,Sokha Home,"Thmei,Preah Vihear - Voir sur la carte",,8,70,N/A
Preah Vihear,Javier Guest House,"Thmei,Preah Vihear - Voir sur la carte",1 étoile,6.7,16,N/A
Preah Vihear,Family Motel,"Thmei,Preah Vihear - Voir sur la carte",,N/A,N/A,N/A
Pursat,Pursat Riverside Hotel & Spa,"Pursat,Pursat - Voir sur la carte",4 étoiles,7.8,418,N/A
Pursat,avec 5 chambre(s) de  m² et 1 salle(s) de bains privée(s) à Pursat (Pursat happy homestay),"Pursat,Pursat - Voir sur la carte",,9.8,2,9 €
Stung Treng,Savet Guesthouse,"Mondol Bei,Stung Treng - Voir sur la carte",3 étoiles,8.2,194,18 €
Stung Treng,Savet Hostel,"Mondol Bei,Stung Treng - Voir sur la carte",3 étoiles,8.5,38,9 €
